t [s],T [N]
0.0,0.0
0.01,38.62802
0.02,77.25604
0.03,115.88406
0.04,171.42912
0.05,174.18165000000002
0.06,176.93418
0.07,179.68671
0.08,182.43924
0.09,185.19177000000002
0.1,187.9443
0.11,190.69683
0.12,193.44936
0.13,196.02349
0.14,193.30122
0.15,190.57895000000002
0.16,187.85668
0.17,185.13441
0.18,182.41214000000002
0.19,179.68987
0.2,176.9676
0.21,174.24533000000002
0.22,170.70584
0.23,167.15256
0.24,163.59928
0.25,160.046
0.26,156.49272
0.27,152.93944
0.28,149.38616
0.29,145.83288
0.3,142.3972
0.31,141.73264
0.32,141.06808
0.33,140.40352000000001
0.34,139.73896
0.35000000000000003,139.0744
0.36,138.40984
0.37,137.74528
0.38,137.08072
0.39,136.41532
0.4,135.7422
0.41000000000000003,135.06907999999999
0.42,134.39596
0.43,133.72284
0.44,133.04972
0.45,132.3766
0.46,131.70348
0.47000000000000003,130.91017
0.48,130.53728
0.49,130.16439
0.5,129.7915
0.51,129.41861
0.52,129.04572000000002
0.53,128.67283
0.54,128.29994
0.55,127.92705000000001
0.56,127.55968000000001
0.5700000000000001,127.23396000000001
0.58,126.90824
0.59,126.58252000000002
0.6,126.25680000000001
0.61,125.93108000000001
0.62,125.60536
0.63,125.27964000000001
0.64,124.95392000000001
0.65,124.62610000000001
0.66,124.29284000000001
0.67,123.95958000000002
0.68,123.62632
0.6900000000000001,123.29306000000001
0.7000000000000001,122.9598
0.71,122.62654
0.72,122.29328000000001
0.73,121.89697000000001
0.74,121.75586000000001
0.75,121.61475000000002
0.76,121.47364
0.77,121.33253
0.78,121.19142000000001
0.79,121.05031000000001
0.8,120.9092
0.81,120.76809
0.8200000000000001,120.60682
0.8300000000000001,120.35182999999999
0.84,120.09683999999999
0.85,119.84185
0.86,119.58685999999999
0.87,119.33187
0.88,119.07687999999999
0.89,118.82189
0.9,118.56689999999999
0.91,118.25922
0.92,117.77463999999999
0.93,117.29006
0.9400000000000001,116.80547999999999
0.9500000000000001,116.3209
0.96,115.83632
0.97,115.35174
0.98,114.86716
0.99,114.42569999999998
1.0,113.78199999999998
1.01,113.13829999999999
1.02,112.49459999999998
1.03,111.85089999999998
1.04,111.20719999999999
1.05,110.56349999999998
1.06,109.91979999999998
1.07,109.27609999999997
1.08,108.62944
1.09,107.96887
1.1,107.30829999999999
1.11,106.64773
1.12,105.98715999999999
1.1300000000000001,105.32659
1.1400000000000001,104.66601999999999
1.1500000000000001,104.00545
1.16,103.34488
1.17,101.97774000000004
1.18,98.90696000000008
1.19,95.83618000000007
1.2,92.76540000000006
1.21,89.69462000000004
1.22,86.62384000000003
1.23,83.55306000000007
1.24,80.48228000000006
1.25,77.38774999999993
1.26,74.43405999999993
1.27,71.48036999999994
1.28,68.52667999999994
1.29,65.57298999999995
1.3,62.61929999999995
1.31,59.66560999999996
1.32,56.71191999999991
1.33,53.75822999999991
1.34,51.395279999999985
1.35,50.4067
1.36,49.41811999999999
1.37,48.42954
1.3800000000000001,47.44095999999999
1.3900000000000001,46.452380000000005
1.4000000000000001,45.46379999999999
1.41,44.47522000000001
1.42,43.48664000000002
1.43,42.63579
1.44,42.02932
1.45,41.42285
1.46,40.816379999999995
1.47,40.209909999999994
1.48,39.60343999999999
1.49,38.99696999999999
1.5,38.39049999999999
1.51,37.81255999999999
1.52,36.99111999999998
1.53,36.169679999999985
1.54,35.34823999999999
1.55,34.52679999999998
1.56,33.705359999999985
1.57,32.88391999999999
1.58,32.062479999999994
1.59,31.24103999999997
1.6,30.490399999999994
1.61,29.86233999999999
1.62,29.234279999999984
1.6300000000000001,28.606219999999993
1.6400000000000001,27.97815999999999
1.6500000000000001,27.350099999999983
1.6600000000000001,26.72203999999998
1.67,26.093980000000002
1.68,25.465919999999997
1.69,24.848169999999996
1.7,24.241100000000003
1.71,23.634029999999996
1.72,23.026960000000003
1.73,22.419889999999995
1.74,21.812820000000002
1.75,21.205749999999995
1.76,20.59868
1.77,19.987289999999987
1.78,19.433059999999998
1.79,18.878829999999994
1.8,18.32459999999999
1.81,17.770369999999986
1.82,17.216139999999996
1.83,16.661909999999992
1.84,16.107679999999988
1.85,15.553449999999984
1.86,15.059939999999997
1.87,14.645229999999998
1.8800000000000001,14.230519999999999
1.8900000000000001,13.815809999999999
1.9000000000000001,13.4011
1.9100000000000001,12.98639
1.92,12.57168
1.93,12.156970000000001
1.94,11.742260000000002
1.95,11.360349999999997
1.96,11.014480000000006
1.97,10.668610000000001
1.98,10.322739999999996
1.99,9.976870000000005
2.0,9.631
2.0100000000000002,9.285129999999995
2.02,8.939260000000004
2.0300000000000002,8.592909999999996
2.04,8.299880000000002
2.05,8.006850000000007
2.06,7.713819999999998
2.07,7.420790000000004
2.08,7.127760000000002
2.09,6.8347300000000075
2.1,6.541699999999999
2.11,6.248670000000004
2.12,5.744079999999997
2.13,5.0259200000000135
2.14,4.307759999999973
2.15,3.58959999999999
2.16,2.8714399999999785
2.17,2.153279999999995
2.18,1.4351199999999835
2.19,0.7169600000000003
