t [s],T [N]
0.0,0.0
0.01,38.91176
0.02,77.82352
0.03,116.73527999999999
0.04,155.64704
0.05,194.55880000000002
0.06,241.23450000000003
0.07,244.00725
0.08,246.78
0.09,249.55275
0.1,252.3255
0.11,255.09825
0.12,257.871
0.13,260.64375
0.14,263.41650000000004
0.15,266.18925
0.16,268.962
0.17,271.73475
0.18,274.63414
0.19,271.89187000000004
0.2,269.1496
0.21,266.40733
0.22,263.66506000000004
0.23,260.92279
0.24,258.18052
0.25,255.43825
0.26,252.69598000000002
0.27,249.95371
0.28,247.21144
0.29,244.64498000000003
0.3,241.06560000000002
0.31,237.48622
0.32,233.90684
0.33,230.32746
0.34,226.74808000000002
0.35000000000000003,223.1687
0.36,219.58932000000001
0.37,216.00994
0.38,212.43056
0.39,208.85118
0.4,205.2718
0.41000000000000003,201.69242
0.42,199.1621
0.43,198.49265
0.44,197.82319999999999
0.45,197.15375
0.46,196.4843
0.47000000000000003,195.81485
0.48,195.1454
0.49,194.47595
0.5,193.8065
0.51,193.13705
0.52,192.4676
0.53,191.79815
0.54,191.12922
0.55,190.45114999999998
0.56,189.77308
0.5700000000000001,189.09501
0.58,188.41694
0.59,187.73887000000002
0.6,187.0608
0.61,186.38273
0.62,185.70466
0.63,185.02659
0.64,184.34852
0.65,183.67045000000002
0.66,183.03042
0.67,182.65479
0.68,182.27916
0.6900000000000001,181.90353
0.7000000000000001,181.5279
0.71,181.15227
0.72,180.77664
0.73,180.40101
0.74,180.02538
0.75,179.64975
0.76,179.27412
0.77,178.89849
0.78,178.53742
0.79,178.20931
0.8,177.88119999999998
0.81,177.55309
0.8200000000000001,177.22498
0.8300000000000001,176.89686999999998
0.84,176.56876
0.85,176.24065
0.86,175.91254
0.87,175.58443
0.88,175.25632
0.89,174.92821
0.9,174.6011
0.91,174.26539
0.92,173.92968
0.93,173.59397
0.9400000000000001,173.25826
0.9500000000000001,172.92255
0.96,172.58684
0.97,172.25113
0.98,171.91541999999998
0.99,171.57971
1.0,171.244
1.01,170.90829
1.02,170.5867
1.03,170.44455000000002
1.04,170.3024
1.05,170.16025000000002
1.06,170.0181
1.07,169.87595000000002
1.08,169.7338
1.09,169.59165000000002
1.1,169.4495
1.11,169.30735
1.12,169.1652
1.1300000000000001,169.02305
1.1400000000000001,168.85096000000001
1.1500000000000001,168.5941
1.16,168.33724
1.17,168.08038000000002
1.18,167.82352
1.19,167.56666
1.2,167.3098
1.21,167.05294
1.22,166.79608000000002
1.23,166.53922
1.24,166.28236
1.25,166.02550000000002
1.26,165.80662
1.27,165.31849
1.28,164.83036
1.29,164.34223
1.3,163.85410000000002
1.31,163.36597
1.32,162.87784
1.33,162.38970999999998
1.34,161.90158
1.35,161.41345
1.36,160.92532
1.37,160.43719
1.3800000000000001,159.94266
1.3900000000000001,159.29422999999997
1.4000000000000001,158.64579999999998
1.41,157.99737
1.42,157.34893999999997
1.43,156.70050999999998
1.44,156.05208
1.45,155.40364999999997
1.46,154.75521999999998
1.47,154.10679
1.48,153.45835999999997
1.49,152.80992999999998
1.5,152.159
1.51,151.49358
1.52,150.82816000000003
1.53,150.16273999999999
1.54,149.49732
1.55,148.83190000000002
1.56,148.16648
1.57,147.50106
1.58,146.83564
1.59,146.17022
1.6,145.5048
1.61,144.83938
1.62,144.6755399999999
1.6300000000000001,141.58220999999986
1.6400000000000001,138.48887999999988
1.6500000000000001,135.3955499999999
1.6600000000000001,132.30221999999992
1.67,129.20888999999988
1.68,126.11555999999996
1.69,123.02222999999992
1.7,119.92889999999989
1.71,116.83556999999996
1.72,113.74223999999992
1.73,110.64890999999989
1.74,107.55487999999991
1.75,104.57949999999994
1.76,101.60411999999997
1.77,98.62873999999988
1.78,95.6533599999999
1.79,92.67797999999993
1.8,89.70259999999996
1.81,86.72721999999987
1.82,83.7518399999999
1.83,80.77645999999993
1.84,77.80107999999996
1.85,74.82569999999987
1.86,72.19876
1.87,71.20292
1.8800000000000001,70.20707999999999
1.8900000000000001,69.21124
1.9000000000000001,68.21539999999999
1.9100000000000001,67.21956
1.92,66.22372000000001
1.93,65.22788
1.94,64.23204000000001
1.95,63.2362
1.96,62.24036000000001
1.97,61.244519999999994
1.98,60.15284000000001
1.99,59.54192000000002
2.0,58.93100000000001
2.0100000000000002,58.320080000000004
2.02,57.70916000000001
2.0300000000000002,57.09823999999999
2.04,56.48732000000001
2.05,55.87640000000002
2.06,55.26548000000001
2.07,54.65456000000002
2.08,54.04364000000001
2.09,53.43272000000002
2.1,52.83330000000001
2.11,52.00583
2.12,51.17836
2.13,50.35089000000002
2.14,49.52341999999999
2.15,48.69595000000001
2.16,47.868480000000005
2.17,47.04101
2.18,46.213539999999995
2.19,45.38607000000002
2.2,44.558599999999984
2.21,43.73113000000001
2.22,42.92926
2.23,42.29659000000001
2.24,41.66391999999999
2.25,41.03125
2.2600000000000002,40.39857999999998
2.27,39.76590999999999
2.2800000000000002,39.13323999999997
2.29,38.50056999999998
2.3000000000000003,37.86789999999999
2.31,37.23523
2.32,36.60256000000001
2.33,35.96988999999999
2.34,35.33098000000001
2.35,34.719449999999995
2.36,34.10792000000001
2.37,33.49638999999999
2.38,32.88486
2.39,32.27332999999999
2.4,31.6618
2.41,31.050269999999983
2.42,30.438739999999996
2.43,29.827210000000008
2.44,29.21568000000002
2.45,28.604150000000004
2.46,27.9872
2.47,27.4289
2.48,26.870600000000024
2.49,26.312299999999993
2.5,25.75400000000002
2.5100000000000002,25.195699999999988
2.52,24.637400000000014
2.5300000000000002,24.07910000000001
2.54,23.52080000000001
2.5500000000000003,22.962500000000006
2.56,22.404200000000003
2.57,21.84590000000003
2.58,21.29891999999998
2.59,20.88115999999998
2.6,20.46339999999998
2.61,20.04563999999999
2.62,19.627879999999976
2.63,19.21011999999999
2.64,18.792359999999974
2.65,18.374599999999987
2.66,17.95683999999997
2.67,17.539079999999984
