t [s],T [N]
0.0,0.0
0.01,113.00333
0.02,226.00666
0.03,339.00981
0.04,417.28708
0.05,423.8318
0.06,422.40636
0.07,420.98092
0.08,419.55548
0.09,418.13004
0.1,416.7046
0.11,415.27916
0.12,413.85396
0.13,411.80104
0.14,409.74812
0.15,407.6952
0.16,405.64227999999997
0.17,403.58935999999994
0.18,401.53643999999997
0.19,399.48352
0.2,397.43059999999997
0.21,395.37768
0.22,394.06422000000003
0.23,393.86023
0.24,393.65624
0.25,393.45225000000005
0.26,393.24826
0.27,393.04427000000004
0.28,392.84028
0.29,392.63629000000003
0.3,392.4323
0.31,392.22831
0.32,392.02432000000005
0.33,391.82033
0.34,391.61634000000004
0.35000000000000003,391.41235
0.36,390.38592
0.37,388.81089
0.38,387.23586
0.39,385.66083
0.4,384.0858
0.41000000000000003,382.51077
0.42,380.93574
0.43,379.36071
0.44,377.78568
0.45,376.21065
0.46,374.63562
0.47000000000000003,373.06059
0.48,371.48555999999996
0.49,369.91053
0.5,368.54699999999997
0.51,367.67647999999997
0.52,366.80595999999997
0.53,365.93543999999997
0.54,365.06492
0.55,364.1944
0.56,363.32388
0.5700000000000001,362.45336
0.58,361.58284
0.59,360.71232
0.6,359.8418
0.61,358.97128
0.62,358.10076
0.63,357.23024
0.64,356.35972
0.65,355.4892
0.66,354.61868
0.67,353.74816
0.68,352.87764
0.6900000000000001,352.00712
0.7000000000000001,351.1366
0.71,350.26608
0.72,349.39556
0.73,348.52504
0.74,347.65452
0.75,346.71275
0.76,345.13172000000003
0.77,343.55069000000003
0.78,341.96966
0.79,340.38863000000003
0.8,338.8076
0.81,337.22657000000004
0.8200000000000001,335.64554
0.8300000000000001,334.06451000000004
0.84,332.48348
0.85,330.90245000000004
0.86,329.32142
0.87,327.74039000000005
0.88,326.15936
0.89,324.57833000000005
0.9,322.9973
0.91,321.41627
0.92,319.83524
0.93,318.25421
0.9400000000000001,316.67318
0.9500000000000001,315.09215
0.96,313.51112
0.97,311.93009
0.98,310.34906
0.99,308.76803
1.0,307.187
1.01,305.92739
1.02,304.74778
1.03,303.56817
1.04,302.38856
1.05,301.20894999999996
1.06,300.02934
1.07,298.84972999999997
1.08,297.67012
1.09,296.49051
1.1,295.31089999999995
1.11,294.13129
1.12,292.95168
1.1300000000000001,291.77207
1.1400000000000001,290.59245999999996
1.1500000000000001,289.41284999999993
1.16,288.23324
1.17,287.05363
1.18,285.87402
1.19,284.69441
1.2,283.5148
1.21,282.33519
1.22,281.15558
1.23,279.97596999999996
1.24,278.79636
1.25,277.61675
1.26,276.43714
1.27,275.25753
1.28,274.07791999999995
1.29,272.89831
1.3,271.7187
1.31,270.53909
1.32,269.35947999999996
1.33,268.17986999999994
1.34,267.00025999999997
1.35,265.82065
1.36,264.64063999999996
1.37,260.74712999999997
1.3800000000000001,256.85362
1.3900000000000001,252.96011
1.4000000000000001,249.0666
1.41,245.17309
1.42,241.27958
1.43,237.38607000000002
1.44,233.49256000000003
1.45,229.59905000000003
1.46,222.0591599999998
1.47,212.0881199999999
1.48,202.11707999999976
1.49,192.14603999999986
1.5,182.17499999999995
1.51,177.12084000000004
1.52,173.29567999999995
1.53,169.47051999999996
1.54,165.64535999999998
1.55,161.8202
1.56,157.99504000000002
1.57,154.16987999999992
1.58,150.34471999999994
1.59,146.51955999999996
1.6,142.69439999999997
1.61,138.86924
1.62,135.04408
1.6300000000000001,131.2189199999999
1.6400000000000001,127.39375999999993
1.6500000000000001,123.56859999999995
1.6600000000000001,119.74343999999996
1.67,115.91827999999998
1.68,112.09312
1.69,109.05155000000002
1.7,107.18650000000002
1.71,105.32145000000003
1.72,103.45640000000003
1.73,101.59135000000003
1.74,99.72630000000004
1.75,97.86125000000004
1.76,95.99619999999999
1.77,94.13114999999999
1.78,92.2661
1.79,90.40105
1.8,88.536
1.81,86.67095
1.82,84.80590000000001
1.83,82.94085000000001
1.84,81.07580000000002
1.85,79.21075000000002
1.86,77.34570000000002
1.87,75.48064999999997
1.8800000000000001,73.61559999999997
1.8900000000000001,71.75054999999998
1.9000000000000001,69.88549999999998
1.9100000000000001,68.02044999999998
1.92,66.15540000000004
1.93,64.29035000000005
1.94,62.42530000000005
1.95,60.560249999999996
1.96,58.6952
1.97,56.83015
1.98,54.96510000000001
1.99,53.10005000000001
2.0,51.235000000000014
2.0100000000000002,49.85168999999996
2.02,48.674379999999985
2.0300000000000002,47.49706999999998
2.04,46.31976
2.05,45.142450000000025
2.06,43.96513999999999
2.07,42.787830000000014
2.08,41.61051999999998
2.09,40.43321
2.1,39.2559
2.11,38.07859000000002
2.12,36.901279999999986
2.13,35.72397000000001
2.14,34.546659999999974
2.15,33.36935
2.16,32.19203999999999
2.17,31.014730000000014
2.18,29.837419999999952
2.19,28.66011000000003
2.2,27.48300000000006
2.21,24.73470000000009
2.22,21.986400000000003
2.23,19.23810000000003
2.24,16.48980000000006
2.25,13.741500000000087
2.2600000000000002,10.993200000000002
2.27,8.24490000000003
2.2800000000000002,5.496600000000058
2.29,2.7483000000000857
