t [s],T [N]
0.0,0.0
0.01,62.61107
0.02,125.22214
0.03,187.83320999999998
0.04,250.44428
0.05,313.05535000000003
0.06,388.159
0.07,392.6205
0.08,397.082
0.09,401.5435
0.1,406.005
0.11,410.4665
0.12,414.928
0.13,419.3895
0.14,423.851
0.15,428.3125
0.16,432.774
0.17,437.2355
0.18,441.90172
0.19,437.48926000000006
0.2,433.07680000000005
0.21,428.66434000000004
0.22,424.25188
0.23,419.83942
0.24,415.42696
0.25,411.0145
0.26,406.60204
0.27,402.18958000000003
0.28,397.77712
0.29,393.64711
0.3,387.8877
0.31,382.12829
0.32,376.36887999999993
0.33,370.60946999999993
0.34,364.8500599999999
0.35000000000000003,359.0906499999999
0.36,353.33124
0.37,347.57183
0.38,341.81242
0.39,336.05301
0.4,330.29359999999997
0.41000000000000003,324.53418999999997
0.42,311.46286000000003
0.43,310.38569
0.44,309.30852
0.45,308.23135
0.46,307.15418
0.47000000000000003,306.07701000000003
0.48,304.99984
0.49,303.92267000000004
0.5,302.8455
0.51,301.76833
0.52,300.69116
0.53,299.61399
0.54,307.53784
0.55,306.4468
0.56,305.35576000000003
0.5700000000000001,304.26472
0.58,303.17368
0.59,302.08264
0.6,300.9916
0.61,299.90056000000004
0.62,298.80952
0.63,297.71848
0.64,296.62744
0.65,295.5364
0.66,294.5056
0.67,293.9012
0.68,293.2968
0.6900000000000001,292.6924
0.7000000000000001,292.088
0.71,291.4836
0.72,290.8792
0.73,290.2748
0.74,289.67040000000003
0.75,289.06600000000003
0.76,288.46160000000003
0.77,287.85720000000003
0.78,287.2769
0.79,286.74895
0.8,286.221
0.81,285.69304999999997
0.8200000000000001,285.1651
0.8300000000000001,284.63715
0.84,284.1092
0.85,283.58125
0.86,283.0533
0.87,282.52535
0.88,281.99739999999997
0.89,281.46945
0.9,280.9417
0.91,280.40153000000004
0.92,279.86136
0.93,279.32119
0.9400000000000001,278.78102
0.9500000000000001,278.24085
0.96,277.70068000000003
0.97,277.16051000000004
0.98,276.62034
0.99,276.08017
1.0,275.54
1.01,274.99983000000003
1.02,274.48356
1.03,274.25484
1.04,274.02612
1.05,273.7974
1.06,273.56868
1.07,273.33995999999996
1.08,273.11124
1.09,272.88252
1.1,272.6538
1.11,272.42508
1.12,272.19635999999997
1.1300000000000001,271.96763999999996
1.1400000000000001,271.6898
1.1500000000000001,271.2765
1.16,270.8632
1.17,270.44989999999996
1.18,270.03659999999996
1.19,269.6233
1.2,269.21
1.21,268.7967
1.22,268.3834
1.23,267.9701
1.24,267.5568
1.25,267.1435
1.26,266.79082
1.27,266.00539
1.28,265.21996
1.29,264.43453
1.3,263.6491
1.31,262.86366999999996
1.32,262.07824
1.33,261.29281
1.34,260.50738
1.35,259.72195
1.36,258.93652
1.37,258.15108999999995
1.3800000000000001,257.35769999999997
1.3900000000000001,256.31435
1.4000000000000001,255.27099999999996
1.41,254.22764999999998
1.42,253.18429999999998
