t [s],T [N]
0,0
0.01,114.45952
0.02,228.91904
0.03,343.37856
0.04,507.96532
0.05,516.1214
0.06,524.27748
0.07,532.43356
0.08,540.58964
0.09,548.74572
0.1,556.9018
0.11,565.05788
0.12,573.21396
0.13,580.84241
0.14,572.77598
0.15,564.70955
0.16,556.64312
0.17,548.57669
0.18,540.51026
0.19,532.44383
0.2,524.3774
0.21,516.31097
0.22,505.8224
0.23,495.2936
0.24,484.7648
0.25,474.236
0.26,463.7072
0.27,453.1784
0.28,442.6496
0.29,432.1208
0.3,421.9393
0.31,419.97011
0.32,418.00092
0.33,416.03173
0.34,414.06254
0.35,412.09335
0.36,410.12416
0.37,408.15497
0.38,406.18578
0.39,404.21394
0.4,402.2194
0.41,400.22486
0.42,398.23032
0.43,396.23578
0.44,394.24124
0.45,392.2467
0.46,390.25216
0.47,387.90423
0.48,386.79932
0.49,385.69441
0.5,384.5895
0.51,383.48459
0.52,382.37968
0.53,381.27477
0.54,380.16986
0.55,379.06495
0.56,377.9746
0.57,377.00945
0.58,376.0443
0.59,375.07915
0.6,374.114
0.61,373.14885
0.62,372.1837
0.63,371.21855
0.64,370.2534
0.65,369.2848
0.66,368.29732
0.67,367.30984
0.68,366.32236
0.69,365.33488
0.7,364.3474
0.71,363.35992
0.72,362.37244
0.73,361.19424
0.74,360.77612
0.75,360.358
0.76,359.93988
0.77,359.52176
0.78,359.10364
0.79,358.68552
0.8,358.2674
0.81,357.84928
0.82,357.37408
0.83,356.61852
0.84,355.86296
0.85,355.1074
0.86,354.35184
0.87,353.59628
0.88,352.84072
0.89,352.08516
0.9,351.3296
0.91,350.41965
0.92,348.9838
0.93,347.54795
0.94,346.1121
0.95,344.67625
0.96,343.2404
0.97,341.80455
0.98,340.3687
0.99,339.05836
1,337.151
1.01,335.24364
1.02,333.33628
1.03,331.42892
1.04,329.52156
1.05,327.6142
1.06,325.70684
1.07,323.79948
1.08,321.8812
1.09,319.92385
1.1,317.9665
1.11,316.00915
1.12,314.0518
1.13,312.09445
1.14,310.1371
1.15,308.17975
1.16,306.2224
1.17,302.17347
1.18,293.07438
1.19,283.97529
1.2,274.8762
1.21,265.77711
1.22,256.67802
1.23,247.57893
1.24,238.47984
1.25,229.31075
1.26,220.55862
1.27,211.80649
1.28,203.05436
1.29,194.30223
1.3,185.5501
1.31,176.79797
1.32,168.04584
1.33,159.29371
1.34,152.29282
1.35,149.36355
1.36,146.43428
1.37,143.50501
1.38,140.57574
1.39,137.64647
1.4,134.7172
1.41,131.78793
1.42,128.85866
1.43,126.33528
1.44,124.53824
1.45,122.7412
1.46,120.94416
1.47,119.14712
1.48,117.35008
1.49,115.55304
1.5,113.756
1.51,112.04749
1.52,109.61348
1.53,107.17947
1.54,104.74546
1.55,102.31145
1.56,99.87744
1.57,97.44343
1.58,95.00942
1.59,92.57541
1.6,90.3494
1.61,88.48839
1.62,86.62738
1.63,84.76637
1.64,82.90536
1.65,81.04435
1.66,79.18334
1.67,77.32233
1.68,75.46132
1.69,73.62742
1.7,71.8286
1.71,70.02978
1.72,68.23096
1.73,66.43214
1.74,64.63332
1.75,62.8345
1.76,61.03568
1.77,59.22475
1.78,57.5825
1.79,55.94025
1.8,54.298
1.81,52.65575
1.82,51.0135
1.83,49.37125
1.84,47.729
1.85,46.08675
1.86,44.62276
1.87,43.39392
1.88,42.16508
1.89,40.93624
1.9,39.7074
1.91,38.47856
1.92,37.24972
1.93,36.02088
1.94,34.79204
1.95,33.66325
1.96,32.6384
1.97,31.61355
1.98,30.5887
1.99,29.56385
2,28.539
2.01,27.51415
2.02,26.4893
2.03,25.46419
2.04,24.59592
2.05,23.72765
2.06,22.85938
2.07,21.99111
2.08,21.12284
2.09,20.25457
2.1,19.3863
2.11,18.51803
2.12,17.02424
2.13,14.89626
2.14,12.76828
2.15,10.6403
2.16,8.51232
2.17,6.38434
2.18,4.25636
2.19,2.12838
2.2,0
