t [s],T [N]
0.0,0.0
0.01,113.00333333333299
0.02,226.00666666666598
0.03,339.0100000000001
0.04,417.2872727272728
0.05,423.8321012658226
0.06,422.40665822784786
0.07,420.9812151898732
0.08,419.5557721518985
0.09,418.1303291139238
0.1,416.7048860759491
0.11,415.27944303797443
0.12,413.85400000000004
0.13,411.8010833333334
0.14,409.74816666666675
0.15,407.6952500000001
0.16,405.6423333333334
0.17,403.58941666666675
0.18,401.5365000000001
0.19,399.48358333333346
0.2,397.43066666666675
0.21,395.3777500000001
0.22,394.0644057971017
0.23,393.8604202898553
0.24,393.6564347826089
0.25,393.45244927536254
0.26,393.24846376811615
0.27,393.0444782608698
0.28,392.84049275362344
0.29,392.63650724637705
0.3,392.43252173913066
0.31,392.2285362318843
0.32,392.0245507246379
0.33,391.82056521739156
0.34,391.6165797101452
0.35000000000000003,391.4125942028988
0.36,390.38597902097905
0.37,388.8109440559441
0.38,387.2359090909091
0.39,385.66087412587416
0.4,384.08583916083916
0.41000000000000003,382.5108041958042
0.42,380.9357692307692
0.43,379.36073426573427
0.44,377.7856993006993
0.45,376.2106643356643
0.46,374.6356293706294
0.47000000000000003,373.0605944055944
0.48,371.4855594405594
0.49,369.9105244755244
0.5,368.54684523809533
0.51,367.6763293650795
0.52,366.80581349206363
0.53,365.93529761904773
0.54,365.0647817460318
0.55,364.194265873016
0.56,363.32375000000013
0.5700000000000001,362.4532341269842
0.58,361.5827182539684
0.59,360.7122023809525
0.6,359.84168650793663
0.61,358.9711706349207
0.62,358.1006547619049
0.63,357.230138888889
0.64,356.3596230158731
0.65,355.4891071428573
0.66,354.6185912698414
0.67,353.7480753968255
0.68,352.8775595238096
0.6900000000000001,352.0070436507938
0.7000000000000001,351.13652777777787
0.71,350.266011904762
0.72,349.3954960317461
0.73,348.5249801587303
0.74,347.6544642857144
0.75,346.7128972332018
0.76,345.1318695652176
0.77,343.5508418972334
0.78,341.9698142292492
0.79,340.388786561265
0.8,338.80775889328083
0.81,337.2267312252966
0.8200000000000001,335.64570355731246
0.8300000000000001,334.0646758893282
0.84,332.4836482213441
0.85,330.90262055335984
0.86,329.3215928853757
0.87,327.74056521739146
0.88,326.15953754940733
0.89,324.5785098814231
0.9,322.99748221343896
0.91,321.4164545454547
