t [s],T [N]
0.0,0.0
0.01,114.45952
0.02,228.91904
0.03,343.37856
0.04,507.96532
0.05,516.1214
0.06,524.27748
0.07,532.43356
0.08,540.58964
0.09,548.74572
0.1,556.9018
0.11,565.05788
0.12,573.21396
0.13,580.84241
0.14,572.77598
0.15,564.70955
0.16,556.64312
0.17,548.57669
0.18,540.51026
0.19,532.44383
0.2,524.3774
0.21,516.31097
0.22,505.8224
0.23,495.29359999999997
0.24,484.76480000000004
0.25,474.236
0.26,463.7072
0.27,453.17839999999995
0.28,442.64959999999996
0.29,432.12080000000003
0.3,421.9393
0.31,419.97011
0.32,418.00091999999995
0.33,416.03173
0.34,414.06254
0.35000000000000003,412.09335
0.36,410.12415999999996
0.37,408.15497
0.38,406.18577999999997
0.39,404.21394
0.4,402.21939999999995
0.41000000000000003,400.22486
0.42,398.23032
0.43,396.23578
0.44,394.24123999999995
0.45,392.2467
0.46,390.25216
0.47000000000000003,387.90423
0.48,386.79931999999997
0.49,385.69441
0.5,384.5895
0.51,383.48458999999997
0.52,382.37968
0.53,381.27477
0.54,380.16985999999997
0.55,379.06494999999995
0.56,377.9746
0.5700000000000001,377.00945
0.58,376.0443
0.59,375.07915
0.6,374.11400000000003
0.61,373.14885000000004
0.62,372.18370000000004
0.63,371.21855000000005
0.64,370.2534
0.65,369.2848
0.66,368.29732
0.67,367.30984
0.68,366.32236
0.6900000000000001,365.33488
0.7000000000000001,364.3474
0.71,363.35992
0.72,362.37244
0.73,361.19424
0.74,360.77612
0.75,360.358
0.76,359.93987999999996
0.77,359.52176
0.78,359.10364
0.79,358.68552
0.8,358.2674
0.81,357.84927999999996
0.8200000000000001,357.37408
0.8300000000000001,356.61852
0.84,355.86296
0.85,355.1074
0.86,354.35184
0.87,353.59628
0.88,352.84072
0.89,352.08516
0.9,351.32959999999997
0.91,350.41965
0.92,348.9838
0.93,347.54795
0.9400000000000001,346.11209999999994
0.9500000000000001,344.67625
0.96,343.2404
0.97,341.80454999999995
0.98,340.3687
0.99,339.05836
1.0,337.15099999999995
1.01,335.2436399999999
1.02,333.33628
1.03,331.42891999999995
1.04,329.5215599999999
1.05,327.6142
1.06,325.70683999999994
1.07,323.7994799999999
1.08,321.8811999999999
1.09,319.92384999999996
1.1,317.96649999999994
1.11,316.00915
1.12,314.05179999999996
1.1300000000000001,312.09444999999994
1.1400000000000001,310.1370999999999
1.1500000000000001,308.1797499999999
1.16,306.2224
1.17,302.1734700000002
1.18,293.07438
1.19,283.9752900000001
1.2,274.87620000000015
1.21,265.77711
1.22,256.67802000000006
1.23,247.57893000000013
1.24,238.47983999999997
1.25,229.3107500000001
1.26,220.55862000000002
1.27,211.80648999999994
1.28,203.0543600000001
1.29,194.30223
1.3,185.55009999999993
1.31,176.79797000000008
1.32,168.04584
1.33,159.29370999999992
1.34,152.29282
1.35,149.36354999999998
1.36,146.43428
1.37,143.50500999999997
1.3800000000000001,140.57574
1.3900000000000001,137.64646999999997
1.4000000000000001,134.7172
1.41,131.78793000000007
1.42,128.85866000000004
1.43,126.33528000000001
1.44,124.53824000000003
1.45,122.74119999999999
1.46,120.94416000000001
1.47,119.14712000000003
1.48,117.35007999999999
1.49,115.55304000000001
1.5,113.75599999999997
1.51,112.04748999999998
1.52,109.61347999999998
1.53,107.17946999999998
1.54,104.74545999999998
1.55,102.31144999999998
1.56,99.87743999999998
1.57,97.44342999999998
1.58,95.00941999999998
1.59,92.57540999999998
1.6,90.3494
1.61,88.48838999999998
1.62,86.62737999999996
1.6300000000000001,84.76637
1.6400000000000001,82.90535999999997
1.6500000000000001,81.04434999999995
1.6600000000000001,79.18333999999999
1.67,77.32233000000002
1.68,75.46132
1.69,73.62741999999997
1.7,71.8286
1.71,70.02977999999996
1.72,68.23095999999998
1.73,66.43214
1.74,64.63331999999997
1.75,62.83449999999999
1.76,61.03567999999996
1.77,59.22475000000003
1.78,57.58250000000004
1.79,55.94025000000005
1.8,54.298
1.81,52.65575000000001
1.82,51.01350000000002
1.83,49.37125000000003
1.84,47.72900000000004
1.85,46.086749999999995
1.86,44.62276
1.87,43.39392000000001
1.8800000000000001,42.16507999999999
1.8900000000000001,40.93624
1.9000000000000001,39.70740000000001
1.9100000000000001,38.47855999999999
1.92,37.249720000000025
1.93,36.020880000000005
1.94,34.792040000000014
1.95,33.663250000000005
1.96,32.63839999999999
1.97,31.613550000000004
1.98,30.58869999999999
1.99,29.563850000000002
2.0,28.538999999999987
2.0100000000000002,27.514149999999972
2.02,26.489299999999986
2.0300000000000002,25.464190000000002
2.04,24.595920000000007
2.05,23.72765000000004
2.06,22.859380000000016
2.07,21.99111000000002
2.08,21.122840000000025
2.09,20.25457000000003
2.1,19.386300000000006
2.11,18.51803000000004
2.12,17.024239999999963
2.13,14.89626000000004
2.14,12.768279999999947
2.15,10.640300000000025
2.16,8.512319999999988
2.17,6.384340000000009
2.18,4.256359999999972
2.19,2.128379999999993
